idiom,lang,meaning
Avoir un coup de foudre,fr,"to fall in love at first sight, to fall madly in love"
Se faire larguer,fr,to get dumped
Se prendre un râteau,fr,to get knocked back
Poser un lapin à quelqu’un,fr,to stand somebody up
S’envoyer en l’air,fr,to get laid
Avoir le cafard,fr,"to feel blue, to feel down, to feel depressed"
Avoir la pêche,fr,"to feel great, to feel happy, to be in high spirits"
Avoir la banane,fr,"to feel great, to feel happy, to be in high spirits"
Avoir la patate,fr,"to feel great, to feel happy, to be in high spirits"
Avoir la dalle,fr,"to be starving, to feel hungry"
Crever la dalle,fr,"to be starving, to feel hungry"
Prendre la tête,fr,"to bother someone, to give yourself a headache. to drive crazy"
En avoir marre,fr,to be fed up with something or someone.
Avoir du pain sur la planche,fr,to have a lot on your plate
Être canon,fr,"to be hot, to fit the standard of beauty"
Être à l’ouest,fr,"to be spaced out, to not be with it."
Être rouge comme une tomate,fr,to be as red as a beetroot
Être rouge comme une écrevisse,fr,to be as red as a beetroot
Être rouge comme une pivoine,fr,to be as red as a beetroot
Être crevé,fr,"to be exhausted, to be extremely tired"
Être mal en point,fr,to be in a bad state
En avoir ras le bol,fr,to be fed up with
Avoir la flemme,fr,"to be lazy, can’t be bothered"
Avoir une peur bleue de,fr,"to be terrified, to be scared to death of something"
Ne pas être dans son assiette,fr,to be/feel under the weather
Avoir la moutarde qui monte au nez,fr,to lose your temper
Être au taquet,fr,"to be going flat out, to be going full throttle, to be full on"
Avoir la gueule de bois,fr,to have a hangover
Avoir un chat dans la gorge,fr,To have a frog in one’s throat.
Être bien dans sa peau,fr,"to be comfortable in your own skin, to feel good about yourself"
Avoir un QI d’huître,fr,to be stupid
Avoir un poil dans la main,fr,to be lazy
Manger sur le pouce,fr,"to eat on the go, on the run."
Boire comme un trou,fr,"to drink like a fish, to drink heavily"
Boire un coup,fr,to have a drink
Avoir les yeux plus gros que le ventre,fr,to bite off more than you can chew.
Un froid de canard,fr,"to be bitterly cold, to be icy cold"
Pleuvoir des cordes,fr,to be raining cats and dogs
Jeter l’argent par les fenêtres,fr,"to carelessly spend money, to waste money, to splurge"
Une bouchée de pain,fr,for next to nothing.
Blanchir de l’argent,fr,to launder money
Ne pas y aller de main morte,fr,"to make no bones about it, to be heavy-handed, to not pull one’s punches"
Coûter les yeux de la tête,fr,"to cost an arm and a leg,to cost a fortune"
Coûter les yeux un bras,fr,"to cost an arm and a leg,to cost a fortune"
S’en mettre plein les poches,fr,to line your pockets
Rouler sur l’or,fr,"to be rolling in money, to be rich"
Se serrer la ceinture,fr,to tighten one’s belt
Casser les pieds à quelqu’un,fr,"to annoy, bother someone"
Casser du sucre sur le dos de quelqu’un,fr,to talk about someone behind his/her back
Tourner au vinaigre,fr,"to get out of control, to get nasty."
Faire la grasse matinée,fr,to sleep in.
Tomber dans le panneau,fr,to fall into the trap.
Jeter un coup d’oeil,fr,"to cast a glance, to take a look."
Raconter des salades,fr,"to talk bullshit, to spin a yarn"
Aller droit au but,fr,to go straight to the point
Faire le pont,fr,to take a long weekend
Faire gaffe,fr,"to be careful, to watch out."
Faire la sourde oreille,fr,to turn a deaf ear.
Tourner la page,fr,"to make a fresh start, to put something behind you"
Faire l’andouille,fr,to act silly
S’occuper de ses oignons,fr,to mind one’s own business.
En faire tout un fromage,fr,to make a mountain out of a molehill/to make a fuss about something
Mettre du piment dans sa vie,fr,to spice up one’s life
Pleurer comme une madeleine,fr,"to cry like a baby, to cry your eyes out"
Ramener sa fraise,fr,to put one’s two cents in
Changer de crèmerie,fr,to take one’s custom elsewhere
En avoir rien à cirer,fr,"to not give a shit, to not give a damn"
En avoir rien à foutre,fr,"to not give a shit, to not give a damn"
En avoir rien à faire,fr,"to not give a shit, to not give a damn"
Avoir d’autres chats à fouetter,fr,"to have better things to do, to have other fish to fry"
Faire la tête,fr,to sulk
Mettre son grain de sel,fr,to put two cents in.
En prendre de la graine,fr,"to take the page from someone’s book, to follow an example"
Prendre ses cliques et ses claques,fr,"to pack up and go, to leave suddenly"
Prendre quelque chose au pied de la lettre,fr,to the letter
Partir en fumée,fr,"to go up in smoke, to disappear"
Prendre ses jambes à son cou,fr,to run for one’s life
Prendre son courage à deux mains,fr,"to summon the courage to do something, to gather one’s courage"
Prendre quelqu’un la main dans le sac,fr,to be caught red-handed
N’y voir que du feu,fr,"to be clueless, to fail to notice something"
Être en train de,fr,to be doing
Chercher la petite bête,fr,to nitpick
Tomber dans les pommes,fr,To faint
Être sur son 31,fr,to be all dressed up
Ne pas être sorti de l’auberge,fr,"to be well and truly in it, to not be out of the woods"
Donner sa langue au chat,fr,"I have taken the time to think about it, and frankly I don’t know the answer to your question, so I give up"
Tenir au courant,fr,"to keep up to date, to keep posted"
Un coup de main,fr,a helping hand
Sur un coup de tête,fr,"on an impulse, on a whim"
Les doigts dans le nez,fr,"hands down, with one hand tied behind your back"
Quelque chose qui cloche,fr,"To not add up, not be right"
Ah la vache,fr,"Oh my god, holy cow"
Ça marche,fr,"Alright, ok"
Tout craché,fr,spitting image
C’est la fin des haricots,fr,there is nothing left/it’s the end
Ne pas être de la tarte,fr,"It’s not easy, it’s hard work"
Faire un tabac,fr,to be a hit.
Sentir le sapin,fr,to have one foot in the grave.
自業自得,jp,"eventually, you will face the consequences of your actions"
十人十色,jp,"To each his own, Different strokes for different folks."
起死回生,jp,Make the best of a bad situation
我田引水,jp,Take advantage of
悪因悪果,jp,You get what you deserve.
見ぬが花,jp,Reality can’t compete with the imagination
弱肉強食,jp,Survival of the fittest
海千山千,jp,A sly old fox
酔生夢死,jp,To spend all your time daydreaming without accomplishing anything
一期一会,jp,You only live once
異体同心,jp,like-minded people who share similar interest and/ or beliefs
羊頭狗肉,jp,False advertising
会者定離,jp,Those who meet must part. All good things must end.
美人薄命,jp,beauty and long life seldom go together
負けるが勝ち,jp,sometimes it’s best not to engage in combat or conflict and to save your energy for more important things
虎穴に入らずんば虎子を得ず,jp,"Nothing ventured, nothing gained"
猿も木から落ちる,jp,Everyone makes mistakes
蓼食う虫も好き好き,jp,There’s no accounting for taste
蛙の子は蛙,jp,"Like father, like son,The apple doesn’t fall far from the tree"
覆水盆に帰らず,jp,No use crying over spilled milk
知らぬが仏,jp,Ignorance is bliss
猫に小判,jp,To cast pearls before swine
井の中の蛙、大海を知らず,jp,Big fish in a small pond
二兎を追う者は一兎をも得ず,jp,"If you try to do two things at once, you will fail at both"
門前の小僧習わぬ経を読む,jp,"You learn, without realising it, from what is around you"
七転び八起き,jp,"If at first, you don’t succeed, try, try again"
案ずるより産むが易し,jp,the act of stressing out about something is usually worse than the thing you’re actually stressing out about
馬鹿は死ななきゃ治らない,jp,There is no cure for ignorance
秋茄子は嫁に食わすな,jp,Don’t let others take advantage of you
花より団子,jp,"Quality over quantity,Substance over style."
口は災いの元,jp,Silence is golden
能ある鷹は爪を隠す,jp,Stay humble and don’t show off
武士は食わねど高楊枝,jp,When you don’t let others see your pain because you are too proud
悪銭身に付かず,jp,Ill-gotten gains are short-lived
郷に入っては郷に従え,jp,"When in Rome, do as the Romans do."
石二鳥,jp,Kill two birds with one stone
頭に来る,jp,to get angry or mad
会わせる顔がない,jp,Ashamed to go out in public
口が軽い,jp,Someone who can’t keep a secret
のどから手が出る,jp,to desperately desire something
大目玉を食らう,jp,To be rebuked or severely scolded
手を抜く,jp,"Cut corners, Phone it in, To do a shoddy job."
雨が降ろうと、槍が降ろうと,jp,Come hell or high water
砂を噛むよう,jp,"When something is dull, tedious, or uninteresting"
猫も杓子も,jp,A lot of people
ごまめの歯ぎしり,jp,Something trivial and of no consequence
月とすっぽん,jp,"Apples and oranges,Night and day,Like chalk and cheese"
イタチの最後っ屁,jp,"Last resort,Final measure,One last push,Last ditch effort"
寿司詰め,jp,Packed like sardines
朝飯前,jp,A piece of cake. Easy peasy
窓際族,jp,"Suits, Drones, Seat warmers"
地獄に仏,jp,A saving grace
内弁慶,jp,Someone haughty and boastful when at home but meek and reserved elsewhere
ちゃんぽん,jp,Mish-mash
暖簾に腕押し,jp,Make a mountain out of a molehill
小便横町,jp,Narrow alleyways that are dirty and smelly
出る杭は打たれる,jp,Tall-poppy syndrome
鯛も一人はうまからず,jp,Meals are only delicious when you eat them with someone
腹八分に医者いらず,jp,Everything in moderation
明日のことを言うと天井のネズミが笑う,jp,You can’t predict the futur
明日は明日の風が吹く,jp,Tomorrow is a new day
雨降って地固ま,jp,What doesn’t kill you makes you stronger
相変わらず,jp,The same as ever
天下り,jp,Fall from grace
口が滑る,jp,"Let the cat out of the bag,Spill the beans."
因果応報,jp,"What goes around comes around,Just desserts."
花鳥風月,jp,the beauties of nature
一日一歩,jp,One day at a time
温故知新,jp,"Learn from the past,History repeats itself"
नौ दो ग्यारह,hi,"head for the hills,make a getaway"
बंदर क्या जाने अदरक का स्वाद,hi,it is fruitless to cast pearls before swine
भैंस के आगे बीन बजाना,hi,wasting effort on something
दिल्ली अभी दूर है’,hi,there is still a long way to go
नाच न जाने आँगन टेढ़ा,hi,a bad workman blames his tools
एक हाथ से ताली नहीं बजती,hi,it takes two to tango