idiom,lang,meaning
Ça marche,fr,"'it functions', but also 'got it' or 'okay'."
Être dans la lune,fr,"to daydream, to pay zero attention."
Ça coûte un bras,fr,It's super expensive.
Faire la grasse matinée,fr,to stay in bed until late in the morning.
Coup de foudre,fr,to fall madly in love at first sight.
Être sage comme une image,fr,it's usually used to define kids who are very calm.
Boire comme un trou,fr,"well, you can guess, I think (hint: the picture of Kermit above)."
Poser un lapin à quelqu'un,fr,to stand someone up (usually used in the dating/romantic scene).
Il fait un froid de canard,fr,it's super duper cold
On n'a pas élevé les cochons ensemble,fr,"you need to respect me more, I'm not your friend, or we have no anterior relations."
Appeler un chat un chat,fr,to say it as it is.
Revenons à nos moutons,fr,let's go back to the topic at hand.
Être une poule mouillée,fr,to be a coward.
La moutarde monte au nez (à quelqu'un),fr,to get really angry.
Tomber dans les pommes,fr,"to faint, to lose consciousness."
Se vendre comme des petits pains,fr,to be in high demand/to be sold very easily.
Recevoir une note salée,fr,to receive a huge surprise bill.
Ce n'est pas tes oignons,fr,it doesn't concern you.
Pas ma tasse de thé,fr,"as it's identical with the English one, I think you can guess what it means."
Gagner des cacahuètes,fr,to receive a very small wage.
aller se faire cuire un œuf,fr,to go jump in the lake
appeler un chat un chat,fr,to call a spade a spade
apporter de l'eau au moulin de quelqu'un,fr,to add grist to somebody's mill
apprendre à un vieux singe à faire des grimaces,fr,"to teach an old dog new tricks (US), to teach granny to suck eggs (UK)"
arriver comme un cheveu sur la soupe,fr,to arrive at the worst possible moment
avoir d’autres chats à fouetter,fr,to have bigger fish to fry
avoir le cafard,fr,to be in the doldrums
avoir des casseroles au cul,fr,to be plagued by scandals
avoir la chair de poule,fr,to have goosebumps
avoir un chat dans la gorge,fr,to have a frog in your throat
avoir le cœur sur la main,fr,to be big-hearted
avoir un coup de foudre,fr,to feel love at first sight
avoir deux mains gauches,fr,to be all thumbs
avoir la gueule de bois,fr,to have a hangover
avoir la moutarde qui monte au nez,fr,"to lose your temper (US), to lose your rag (UK)"
avoir du pain sur la planche,fr,to have a lot on your plate
avoir la pêche / la patate / la frite,fr,"to feel great (US), to be full of beans (UK)"
avoir un poil dans la main,fr,to be bone-lazy
avoir la tête dans le pâté/le cul,fr,to feel groggy
avoir les yeux plus gros que le ventre,fr,to bite off more than you can chew
battre le fer tant qu’il est chaud,fr,to strike while the iron is hot
boire comme un trou,fr,to drink like a fish
casser les pieds à quelqu’un,fr,to drive somebody nuts
casser du sucre sur le dos de quelqu’un,fr,to badmouth somebody behind their back
changer de crèmerie,fr,to take one’s custom elsewhere
chat échaudé craint l'eau froide,fr,"once bitten, twice shy"
chercher midi à quartorze heures,fr,to make things over-complicated
chercher la petite bête,fr,to split hairs
courir sur le haricot de quelqu’un,fr,to get on somebody’s nerves
coûter les yeux de la tête,fr,to cost an arm and a leg
les doigts dans le nez,fr,to accomplish something easily
donner de la confiture aux cochons,fr,to cast pearls before swine
donner sa langue au chat,fr,to give up on guessing
en avoir gros sur le cœur/la patate,fr,to be heavy-hearted
en avoir ras-le-bol,fr,to be fed up to the back teeth
en faire tout un fromage/plat,fr,to make a mountain out of a molehill
enfoncer une porte ouverte,fr,to whip a dead horse
engueuler quelqu'un comme du poisson pourri,fr,"to give somebody a earful (US), to give somebody a rollicking (UK)"
entrer quelque part comme dans un moulin,fr,to waltz in somewhere as you please
être le dindon de la farce,fr,to be the butt of the joke
être au four et au moulin,fr,to wear too many hats
être bien dans sa peau,fr,to feel good about one's self
être long(ue) à la détente,fr,to be slow on the uptake
être à l’ouest/à la ramasse,fr,to run on empty
ne faire qu’une bouchée de quelqu’un,fr,to wipe the floor with somebody
faire une queue de poisson,fr,to cut somebody up
faire la grasse matinée,fr,"to sleep in (US), to have a lie-in (UK)"
faire l’andouille,fr,to be silly
faire un tabac,fr,to strike it rich
filer à l'anglaise,fr,to sneak out
finir en queue de poisson,fr,to fizzle out
la goutte d’eau qui fait déborder le vase,fr,the final straw that breaks the camel’s back
l’habit ne fait pas le moine,fr,you can't judge a book by its cover
il faut souffrir pour être belle,fr,"no pain, no gain"
il n'y a pas un chat,fr,nobody's here
jeter l’argent par les fenêtres,fr,to poor money down the drain
jeter le bébé avec l'eau du bain,fr,to throw the baby out with the bathwater
jeter l’éponge,fr,to throw in the towel
joindre les deux bouts,fr,to make ends meet
la fin des haricots,fr,the last straw
les carottes sont cuites,fr,your goose is cooked
mener quelqu’un en bateau,fr,to lead someone up to the garden path
mettre la charrue avant les boeufs,fr,put the cart before the horse
mettre son grain de sel,fr,to put in two cents
ne pas être dans son assiette,fr,to feel under the weather
ne pas y aller avec le dos de la cuillère,fr,not to go in with half measures
ne pas avoir sa langue dans sa poche,fr,not never be at a loss of words
ne pas avoir la lumière à tous les étages,fr,the lights are on but nobody’s home
ne pas casser trois pattes à un canard,fr,nothing to write home about
ne pas être sorti de l’auberge,fr,not to be out of the woods
pas avoir de quoi fouetter un chat,fr,no need to get your knickers in a twist
passer du coq à l’âne,fr,to jump from pillar to post
passer l'arme à gauche,fr,to kick the bucket
péter un câble,fr,to blow a fuse
"petit à petit, l'oiseau fait son nid",fr,little strokes fell great oaks
pipi de chat,fr,not important
plumer quelqu'un,fr,to take somebody to the cleaner's
poser un lapin,fr,to stand someone up
prendre ses jambes à son cou,fr,to take your heels
presser quelqu'un comme un citron,fr,to squeeze somebody dry
quand les poules auront des dents,fr,when pigs fly
"Quand le chat n'est pas là, les souris dansent.",fr,"When the cat's away, the mice will play."
à quelque chose malheur est bon,fr,every cloud has a silver lining
qui vole un œuf vole un bœuf,fr,give somebody an inch and he/she will take a mile
raconter des salades,fr,to spin a yarn
ramener sa fraise,fr,to stick your oar in
rendre l'âme,fr,to give up the ghost
revenir à ses moutons,fr,to get back on topic
rouler quelqu’un dans la farine,fr,to cook somebody's goose
se jeter dans la gueule du loup,fr,to throw oneself in the lion's den
se mettre sur son 31,fr,to be dressed up to the nines
se noyer dans un verre d'eau,fr,to be as helpless as a babe
s’envoyer en l’air,fr,"make love, have sex"
se serrer la ceinture,fr,to tighten one’s belt
s’occuper de ses oignons,fr,to mind your own business
un tien vaut mieux que deux tu l’auras,fr,a bird in the hand is worth two in the bush
tomber dans le panneau,fr,to fall into the trap
tomber dans les pommes,fr,to faint
tourner au vinaigre,fr,to turn sour
traîner quelqu’un dans la boue,fr,to drag somebody’s name in the mud
vendre la peau de l’ours avant de l’avoir tué,fr,to count your chickens before they hatch
出る杭は打たれる,jp,TODO
案ずるより産むが易し,jp,TODO
知らぬが仏,jp,TODO
虎穴に入らずんば虎子を得ず,jp,TODO
井の中の蛙大海を知らず,jp,TODO
鯛も一人はうまからず,jp,TODO
腹八分に医者いらず,jp,TODO
明日のことを言うと天井のネズミが笑う,jp,TODO
明日は明日の風が吹く,jp,TODO
雨降って地固まる,jp,TODO
花より団子,jp,TODO
相変わらず,jp,TODO
猿も木から落ちる,jp,TODO
朝飯前,jp,TODO
見ぬが花,jp,TODO
天下り,jp,TODO
猫に小判,jp,TODO
七転び八起き,jp,TODO
口が滑る,jp,TODO
因果応報,jp,TODO
自業自得,jp,TODO
一期一会,jp,TODO
十人十色,jp,TODO
起死回生,jp,TODO
花鳥風月,jp,TODO
一石二鳥,jp,TODO
一日一歩,jp,TODO
温故知新,jp,TODO
異体同心,jp,TODO
आँखें चुराना,hi,not like to be seen
आँखो का तारा,hi,Beloved
मुँह मीठा करना,hi,to distribute sweet in joy
चहरा उतरना,hi,to be sad/disappointed
दन्तो तले उंगली दबाना,hi,to be very surprised
साँस लेना,hi,to feel free after much work
बात पक्की होना,hi,to be agree on something
बाल-बाल बचना,hi,to get away from a trouble by a close margin
अकल का दुश्मन,hi,to be dumb
जान पर खेलना,hi,to be fearless
पेट में चूहे कूदना,hi,to be very hungry
आसमान पर चड़ना,hi,to be proud
आकाश पाताल का अंतर,hi,to be a big difference
हवा से बातें करना,hi,to run at high speed
पत्थर की लकीर,hi,to be firm on saying
पहाड़ टूट पड़ना,hi,to get into a big trouble
ईद का चाँद होना,hi,only to be seen after long time (usually a person)
चकमा देना,hi,to deceive
उल्टी गंगा बहना,hi,to be unusual (happening)
छ्क्के छुड़ाना,hi,to defeat
फूँक फूँक कर कदम रखना,hi,to be very careful (in action)
दम में दम आना,hi,to feel free from fear
दाँत से दाँत बजाना,hi,to feel very cold
मुँह में पानी आना,hi,to be tempted by food
नाक काटना,hi,to blame or embarrass someone
कमर टूटना,hi,to feel disappointed
कमर कसना,hi,to prepare for something
कलेजा पत्थर का होना,hi,to be mentally very strong
दाँत खट्टे करना,hi,to defeat someone
ईंट से ईंट बजाना,hi,to destroy someone
बदले में लेना-देना,hi,Trade in
फायदा उठाना,hi,Trade on
पहन कर देखना,hi,Try on
जाँच के लिए चलाकर देखना,hi,Try out
किसी के खिलाफ खड़े हो जाना,hi,Turn against
प्रस्तुत करना,hi,Turn in
"निगरानी करना, रक्षा करना",hi,Watch over
धुँधला पड़ना,hi,Wear off
समय नष्ट करना,hi,While away
अनदेखी करना,hi,Wink at
किसी तरीके से खोलना,hi,Work open
"मुख्यत :, खासकर",hi,Above all
हक्का-बक्का होना,hi,Aghast at
अचानक,hi,All at once
झगड़े का परिणाम/कारण,hi,Apple of discord
बहुत प्रिय,hi,Apple of one's eye
थोड़ा-सा भी,hi,At all
दिए हुए वचन से मुकर जाना,hi,Back out of
दुश्मनी,hi,Bad blood
बहुत ध्यान से सुनना,hi,Be all ears
निश्चित रुप से,hi,Be Bound
मर जाना,hi,Be no more
बुलाने पर हाजिर होना,hi,Beck and call
अनुकूल अवसर के लिए शांति से प्रतीक्षा करना,hi,Bide and time
समान स्वभाव के लोग,hi,Birds of a feather
बदनाम आदमी,hi,Black sheep
जी जान से,hi,Body and soul
जिगरी दोस्त,hi,Bosom friend
छुपने के स्थान से बाहर आना,hi,Break cover
राज खोलना,hi,Bring to light
दिन दहाड़े,hi,Broad daylight
विचारों में मग्न रहना,hi,Brown study
आहिस्ता-आहिस्ता,hi,By and By
बात-बात में यूँ ही,hi,By the way
साफ-साफ कह देना,hi,Call a spade a spad
मौत की सजा,hi,Capital punishment
इंतजार में रहना,hi,Cast about for
"जाना, भागना",hi,Clear off
बाल-बाल बचना,hi,Close shave
पता चलना,hi,Come to light
मिलता-जुलता होना,hi,Corresponding to
विस्तार से कहना,hi,Cover a lot of ground
बिल्कुल खिलाफ,hi,Dead against
कतई पूरा न होने वाला,hi,Dead loss
आधी रात को,hi,Dead of light
बहुत थका हुआ,hi,Dead tired
मार डालना,hi,Done to death
मर्यादा तय करना,hi,Draw a line
मिलने जाना,hi,Drop in on
छोड़ देना,hi,Drop out of
शराब पीकर आने वाली झूठी वीरता,hi,Dutch courage
किसी से दुश्मनी मोल लेना,hi,Fall foul of
सहमत होना,hi,Fall in with
नसीब में होना,hi,Fall to one's lot
पारिवारिक समानता,hi,Family likeness
धीरे-धीरे प्रगति करना,hi,Gain ground
आगे निकल जाना,hi,Get ahead of
बदला लेना,hi,Get even with
मतलब समझ पाना,hi,Get bold of
झंझट में पड़ना,hi,Get into a soup
छुटकारा पाना,hi,Get ride of
काम पूरा करना,hi,Get through with
रहस्य का पता लगाना,hi,Get wind of
अवसर देना,hi,Give a break
कोसना,hi,Give a peace of mind
कोई भी खतरा मोल लेना,hi,Go through fire and water
कोई काम अंत तक करते रहना,hi,Go through with
कानून का सहारा लेना,hi,Go to law
कोई काम ध्यानपूर्वक करना,hi,Go to town
बहुत मात्रा में,hi,Good deal
प्रसन्नचित होना,hi,Good humour
बड़े जोर-जोर से,hi,Hammer and tongs
बहुत नाजुक स्थिति में होना,hi,Hang by a thread
कुछ हद तक बहरा,hi,Hard of hearing
रुपयों की तंगी होना,hi,Hard up
"अक्सर, बधुआ",hi,Every Now and then
तंग आ जाना,hi,Fed up with
"भाईचारा, अपनापन",hi,Yellow feeling
जानकारी देना,hi,Fill one in
"राजी होना, दिल करना",hi,Have a mind
आराम होना,hi,Have an easy time of it
निर्दोष पाना,hi,Have clean hands
कोई काम हांथ में होना,hi,Have in hand
झगड़ा करना,hi,Have it out with
अपनी ही बात करना,hi,Have one's way
एक ही साथ अनेक काम करने की कोशिश करना,hi,Have too many irons in the fire
ऐश आराम की जिन्दगी,hi,High living
ठीक समय होना,hi,High time
घुल-मिल जाना,hi,Hot it off
खामोश रहना,hi,Hold one's tongue
रिश्वत,hi,Hush money
सब मिलाकर,hi,In a body
दुविधा में पड़ना,hi,In a fix
गुस्से में होना,hi,In a temper
संक्षेप में,hi,In a word
सब मिलाकर,hi,In all
बार-बार जेल जाने वाला अपराधी,hi,Jail bird
बिल्कुल सही,hi,Just the thing
निगरानी रखना,hi,Keep an eye on
संपर्क बनाए रखना,hi,Keep in touch with
देर तक जागे रहना,hi,Keep late hours
एक ही समय में दो काम करना,hi,Kill two birds with one stone
शक्ल से पहचानना,hi,Know by sight
बीमार होकर बिस्तर पर पड़े रहना,hi,Laid up with
मन में हंसना,hi,Laugh in one's sleeve
हुक्म चलाना,hi,Lay down the law
जिसका उत्तर प्रश्न में ही निहित है,hi,Leading Question
कठिनाई में साथ छोड देना,hi,Leave in the lurch
बीती बातें भूल जाना,hi,Let bygones be bygones
इंतजार में रहना,hi,Lie in wait for
आसानी से जगने वाला व्यक्ति,hi,Light sleeper
ऐश आराम की जिन्दगी बिताना,hi,Live it up
किसी को बहुत गुस्से से घूरना,hi,Look dagger at someone
सही-सही लगना,hi,Look every inch
धीरज खोना,hi,Lose heart
गड़बड़ घोटाला कर देना,hi,Make a hush
छोटी सी बात को बढ़ा-चढ़ाकर पेश करना,hi,Make a mountain of a mole hill
जीविका चलाना,hi,Make a living
चोरी से भाग जाना,hi,Make away with
विश्वास दिलाना,hi,Make believe
किसी का मजाक उड़ाना,hi,Make fun of
सुलह करना,hi,Make it up with
बहुत महत्तव देना,hi,Make much of
चोरी से लेकर भाग जाना,hi,Make off with
समझौता करना,hi,Meet one half way
बाल-बाल बचना,hi,Narrow escape
कुछ भी हो तो भी,hi,No matter
कभी-कभी,hi,Now and then
जानबूझकर,hi,On purpose
खुले दिल का आदमी,hi,Open-hearted man
पूरी तरह से,hi,Out and out
"थक जाना, जोर-जोर से सांस लेना",hi,Out of breath
खफा होना,hi,Out of favour
पैसे न होना,hi,Out of pocket
दिलोजान से ( प्यार करना ),hi,Over head and ears
डींग मारना,hi,Plume oneself on
बुरे दिन के लिए बचत करना,hi,Provide against a rainy day
मिलजुलकर काम करना,hi,Pull Well with
केस करना,hi,Put on trail
लज्जित करना,hi,Put one out of countenance
बर्दाश्त करना,hi,Put up with
रिहा करना,hi,Set at liberty
घृणा करना,hi,Set one's teeth on edge
नजदीक का रास्ता,hi,Short cut
करो या मरो,hi,Sink or swim
बाल-बाल बचना,hi,Skin of one's teeth
अप्रिय परिस्थिति में लोगों के बीच होना,hi,Fish out of water
जान बूझ कर उल्टा व्यवहार करना,hi,Fly in the face of
हमेशा के लिए,hi,For good
मन की बात प्रकट करने के लिए मजबूर करना,hi,Force one's hand
कुछ समय के लिए,hi,For the time being
बिना बताये चले जाना,hi,French leave
मुसीबत में साथ न देने वाला मित्र,hi,Fair feather friend
