source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"Je suis en train de tourner la page.
","I'm moving on.
","[""I'm turning over a new leaf.\n""]",1,il être en train de tourner le page .,"['être en train de', 'tourner le page']",25209
"et j'étais en train de me branler. C'est ça que tu veux, ah?
","That's what you want, eh?
",['I was under your window and I was jerking off.\n'],1,"et il être en train de se branler . ce être ça que il vouloir , ahant",['être en train de'],25209
"Je suis en train de tourner la page, vraiment, je travaille dur pour tourner la page.
","I'm moving on, really, I'm working hard to move on.
","[""I'm getting over this. I am. I'm working really hard to get over this.\n""]",1,"il être en train de tourner le page , vraiment , il travailler dur pour tourner le page .","['être en train de', 'tourner le page']",25209
"C'était en train de partir en fumée.
","It was going up in flames.
",['McGEE: It was running on fumes.\n'],1,ce être en train de partir en fumée .,"['être en train de', 'partir en fumée']",25209
"Tu es en train de te prendre la tête.
","You're getting all worked up.
","[""You're psyching yourself out.\n""]",1,il être en train de lui prendre le tête .,"['être en train de', 'prendre le tête']",25209
"Sarah est en train de te prendre la tête.
","Sarah's getting on your nerves.
","[""Oh, Sarah's got you all up in a tizzy.\n""]",1,Sarah être en train de lui prendre le tête .,"['être en train de', 'prendre le tête']",25209
"Il est en train de le faire, il défonce la porte.
","He's doing it. He's breaking down the door.
","[""He's doing it, he's breaking down the door.\n""]",1,"il être en train de le faire , il défoncer le porte .",['être en train de'],25209
"Il bâille, mais pas la suspecte qu'il est en train d'interroger.
","He yawns, but not the suspect he's interrogating.
","[""He yawns, but not the suspect he's questioning.\n""]",1,"il bâiller , mais pas le suspect que il être en train de interroger .",['être en train de'],25209
"Imagine combien de gens sont en train de s'envoyer en l'air, mec.
","Imagine how many people are getting laid, man.
","['Imagine how many people out there right now are fucking, man.\n']",1,"imagine combien de gens être en train de se envoyer en le air , mec .","['être en train de', 'se envoyer en le air']",25209
"Je ne savais pas que c'était si mal d'épouser quelqu'un que j'aimais, et ne pas ne pas savoir qu'en me mariant avec cette personne dont je suis si amoureuse, que j'étais en train de laisser tomber la communauté Gay toute entière.
","I didn't know it was so wrong to marry someone I loved, and not know that by marrying that person I'm so in love with, I was letting go of the entire gay community.
","[""I didn't know that it was wrong to marry somebody that I was in love with, and I didn't know that by marrying someone I'm very much in love with, I was letting down the entire gay community.\n""]",1,"il ne savoir pas que ce être si mal de épouser quelqu'un que il aimer , et ne pas ne pas savoir que en se marier avec ce personne dont il être si amoureux , que il être en train de laisser tomber le communauté Gay tout entier .",['être en train de'],25209
"Je sais que tu as besoin d'espace, mais tu ne peux pas en avoir, car Alex est en train de tourner la page.
","I know you need space, but you can't have it, because Alex is moving on.
","[""I know you want space, but you can't have space, because Alex might be moving on.\n""]",1,"il savoir que il avoir besoin de espace , mais il ne pouvoir pas en avoir , car Alex être en train de tourner le page .","['être en train de', 'tourner le page']",25209
"Tu es en train de faire un sandwich ou attirer un cerf ?
","Are you making a sandwich or attracting a deer?
",['Were you making a sandwich or attracting deer?\n'],1,il être en train de faire un sandwich ou attirer un cerf ?,['être en train de'],25209
"J'ai la pêche, ça marche plus vite que j'imaginais.
","I'm peachy. It's going faster than I thought.
","[""Don't be paranoid. I feel great. Didn't expect the meds to work this quickly.\n""]",1,"il avoir le pêche , ça marcher plus vite que il imaginer .","['ça marcher', 'avoir le pêche']",12211
"Ça marcherait peut-être mieux si tu donnais un coup de main.
","Maybe it'll work better if you help.
",['It would be easier if you helped me.\n'],1,ça marcher pouvoir être mieux si il donner un coup de main .,"['ça marcher', 'un coup de main']",12211
"Quoi que tu sois en train de faire, ça marche.
","Whatever you're doing, it's working.
","[""Whatever you're doing in there, it's working.\n""]",1,"quoi que il être en train de faire , ça marcher .","['ça marcher', 'être en train de']",12211
"Elle prend un bain ou quoi ? Si t'es en train de te baptiser, c'est pas comme ça que ça marche !
","If you're baptizing, that's not how it works!
","[""It doesn't count if you try to baptize yourself.\n""]",1,"il prendre un bain ou quoi ? si lui être en train de lui baptiser , ce être pas comme ça que ça marcher !","['ça marcher', 'être en train de']",12211
"On est en train de chercher une solution, mais si ça marche pas, tu sais ce que tu dois faire ?
","We're working on a solution, but if it doesn't work, you know what you have to do?
","[""We're trying to solve it, but you know what to do... if it doesn't work out, right?\n""]",1,"on être en train de chercher un solution , mais si ça marcher pas , il savoir ce que il devoir faire ?","['ça marcher', 'être en train de']",12211
"Si ça marche pas, tournez la page.
","If it doesn't work out, move on.
","[""If it doesn't work out, you move on. (chuckles) Mm-hmm.\n""]",1,"si ça marcher pas , tourner le page .","['ça marcher', 'tourner le page']",12211
"""Il faut souffrir pour être beau."" Essayez, ça marche.
","""You have to suffer to be beautiful."" Try it, it works.
","[""Beauty Knows No Pain. just try it. It's gotten more ladies through my class...\n""]",1,""" il falloir souffrir pour être beau . "" essayer , ça marcher .","['ça marcher', 'il falloir souffrir pour être beau']",12211
"Ça marchera pas. - Faut faire gaffe.
","- You gotta be careful.
","['What do you think, honey?\n']",1,ça marcher pas . - falloir faire gaffe .,"['ça marcher', 'faire gaffe']",12211
"Ça marche.
","You got it.
",['Coming right up.\n'],1,ça marcher .,['ça marcher'],12211
"Mais je me suis investie pour faire en sorte que ça marche, mais il en avait rien à foutre.
","But I invested in making it work, but he didn't give a shit.
","['But I put everything I had into it to make it work, and he could care less.\n']",1,"mais il se être investir pour faire en sorte que ça marcher , mais il en avoir rien à foutrer .","['ça marcher', 'en avoir rien à foutrer']",12211
"J'en ai marre qu'ils me mentent. Et je sais que ça marchera jamais.
","I'm tired of them lying to me, and I know it's never gonna work.
","[""I'm sick of them lying to me and I know that it's never going to work.\n""]",1,il en avoir marrer que il se menter . et il savoir que ça marcher jamais .,"['ça marcher', 'en avoir marre']",12211
"Ca marche pas.
","It's not working.
","[""I don't know I can't remember 'cause at that point I zoned out 'cause some real hot fireman came into the bar\n""]",1,ça marcher pas .,['ça marcher'],12211
"Après de nombreuses études, on a conclu la même chose que les parents, à savoir que ça marche avec un bon enseignant et que ça ne va pas quand l'enseignant est mauvais.
","After a lot of studies, we've come to the same conclusion as parents, to know that it works with a good teacher and that it doesn't work when the teacher's bad.
","[""After lots of studies, we come down to just what most parents believe, and that is a good teacher is what's working and a bad teacher is what's not working.\n""]",1,"après un nombreux étude , on avoir conclure le même chose que le parent , à savoir que ça marcher avec un bon enseignant et que ça ne aller pas quand le enseignant être mauvais .",['ça marcher'],12211
"Je veux dire, trop de travail... pour que ça marche.
","I mean, too much work... to make it work.
","['I mean, too much work to make it... work.\n']",1,"il vouloir dire , trop de travail ... pour que ça marcher .",['ça marcher'],12211
"""C'est les chiffres, putain, ça marche plus ! Regarde !""
","""It's the fucking numbers, it's not working anymore!""
","['""It\'s the numbers, fuck, it doesn\'t work anymore!\n']",1,""" ce être le chiffre , putain , ça marcher plus ! regarder ! """,['ça marcher'],12211
"Il adore les sucettes et en a marre d'en tenir six à la fois ?
","He loves lollipops and he's tired of holding six at a time?
","[""Maybe he's really into lollipops, and he's tired of housing six at a time?\n""]",1,il adorer le sucette et en avoir marre de en tenir six à le fois ?,['en avoir marre'],5339
"C'est une fille qui a le cafard. Elle en a marre de la guerre, marre d'être seule, à attendre que son homme revienne.
","She's tired of the war, tired of being alone, waiting for her man to come back.
","[""It's about a very lonely girl who's sick and tired of war and being left alone.\n""]",1,"ce être un fille qui avoir le cafard . il en avoir marre de le guerre , marre de être seul , à attendre que son homme revenir .","['en avoir marre', 'avoir le cafard']",5339
"J'en ai marre d'être sous ce soleil... à discutailler avec un aspirant dictateur.
","I'm tired of being under this sun... talking to a would-be dictator.
","[""Now, look, I'm tired of hanging around under this sun... playing footsie with a half-pint would-be dictator.\n""]",1,il en avoir marre de être sous ce soleil ... à discutailler avec un aspirant dictateur .,['en avoir marre'],5339
"Elle en a marre que je sente l'iodoforme.
","She's tired of me smelling iodoform.
",['She says I have to stop smelling of iodoform.\n'],1,il en avoir marrer que il sentir le iodoforme .,['en avoir marre'],5339
"C'est la faute à personne. Terminé. Tourne la page, j'en ai marre.
","It's nobody's fault.
","[""Move on, because, frankly, I'm sick of hearing about it.\n""]",1,"ce être le faute à personne . terminer . tourner le page , il en avoir marrer .","['en avoir marre', 'tourner le page']",5339
"Nous sommes en train d'en avoir marre l'un de l'autre.
","We're getting sick of each other.
","[""We're slowly getting sick of each other.\n""]",1,il être en train de en avoir marrer le un de le autre .,"['en avoir marre', 'être en train de']",5339
"J'en avais marre de tes âneries.
","I was tired of your nonsense.
","['Lister, I did that because I was sick of you annoying me.\n']",1,il en avoir marre de son ânerie .,['en avoir marre'],5339
"J'en ai marre, marre de Napoléon Quatorze.
","I've had it, I've had it with Napoleon Fourteen.
","[""And I'm sick of it, Aeryn! I'm sick of Napoleon the Fourteenth,\n""]",1,"il en avoir marre , marre de Napoléon Quatorze .",['en avoir marre'],5339
"Putain, j'en ai rien à foutre! J'en ai marre!
","I don't fucking care!
","[""Fuck, I don't want to know, I've had enough!\n""]",1,"putain , il en avoir rien à foutrer il en avoir marrer !","['en avoir marre', 'en avoir rien à foutrer']",5339
"Il donne un coup de main avec les fournisseurs et...
","He's helping out with the suppliers and...
","[""He's uh, helping out, keeping things together with the vendors and...\n""]",1,il donner un coup de main avec le fournisseur et ...,['un coup de main'],2509
"- Bonjour, un coup de main ?
","- Hello, can I give you a hand?
","['- Hey ya, may I help you on here ?\n']",1,"- bonjour , un coup de main ?",['un coup de main'],2509
"Tu devrais être en train de t'occuper de Ben I'invalide. II va très bien. Tout Ie monde peut avoir besoin d'un coup de main.
","You should be taking care of crippled Ben, he's fine.
","[""THAT'S HOW IT SOUNDED.\n""]",1,il devoir être en train de lui occuper de Ben I' invalide . II aller très bien . tout Ie monde pouvoir avoir besoin de un coup de main .,"['un coup de main', 'être en train de']",2509
"Elle donnait un coup de main à la maison et à son père au travail.
","She was helping out around the house and her dad at work.
",['She lends you a helping hand at home and her father at work.\n'],1,il donner un coup de main à le maison et à son père à le travail .,['un coup de main'],2509
"Vous êtes tellement doués pour trouver des trucs, peut-être que vous pourriez donner un coup de main à mon équipier.
","You guys are so good at finding stuff, maybe you could help out my partner.
","['You guys are so good at finding things, maybe you could give my partner a hand.\n']",1,"il être tellement douer pour trouver un truc , peut-être que il pouvoir donner un coup de main à son équipier .",['un coup de main'],2509
"- Besoin d'un coup de main ?
","- Need a hand?
",['Need a hand? Nah.\n'],1,- besoin de un coup de main ?,['un coup de main'],2509
"Fais gaffe, l'oiseau !
","Watch out, bird!
","['Whoa, bird! Watch out for the...\n']",1,"faire gaffe , le oiseau !",['faire gaffe'],2227
"Fais gaffe Lindsey, surveille-les bien.
","Be careful, Lindsey, keep an eye on them.
","[""Watch them, Lindsey. Keep an eye on 'em.\n""]",1,"faire gaffe Lindsey , surveiller il bien .",['faire gaffe'],2227
"Fais gaffe oû tu mets les pieds, j'ai tout astiqué.
","Watch your step, I've ruined everything.
","[""Watch where you're walking, I just mopped here.\n""]",1,"faire gaffe oû il mettre le pied , il avoir tout astiquer .",['faire gaffe'],2227
"- Tous chez Faucelli! - Aux baraques, faites gaffe!
","Everybody to Faupiro's!
","['Back to the sheds, and keep your eyes open!\n']",1,"- tout chez Faucelli! - à le baraque , faire gaffe !",['faire gaffe'],2227
"Fais gaffe, je suis en train de suturer.
","Watch out, I'm suturing.
","[""Hello. I'm suturing here.\n""]",1,"faire gaffe , il être en train de suturer .","['faire gaffe', 'être en train de']",2227
"- À ta place, je ferais gaffe à mon cul.
","- I'd watch my ass if I were you.
","[""- Lf I was you, I'd watch my ass.\n""]",1,"- à ta place , il faire gaffe à son cul .",['faire gaffe'],2227
"Je suis revenu avec des glacières médicales, un conteneur scellé, mais, une fois, j'ai jeté un coup d'oeil.
","I came back with some medical coolers, a sealed container, but, one time, I took a look.
","['I flew back with medical ice chests, coolers sealed up tight, but I got a look once.\n']",1,"il être revenir avec un glacière médical , un conteneur sceller , mais , un fois , il avoir jeter un coup de oeil .",['jeter un coup de oeil'],1489
"Laissez-moi juste jeter un coup d'oeil.
","Let me just take a look.
",['Just give me one stroll around the foot.\n'],1,laisser lui juste jeter un coup de oeil .,['jeter un coup de oeil'],1489
"Ça ne vous dérange pas si on jette un coup d'oeil ?
","Do you mind if we take a look?
","[""I hope you don't mind if we look around.\n""]",1,ça ne il déranger pas si on jeter un coup de oeil ?,['jeter un coup de oeil'],1489
"- Alors, vous voulez que je jette un coup d'oeil?
","- So, you want me to take a look?
","['- So, you want me to take a look? - Where?\n']",1,"- alors , il vouloir que il jeter un coup de oeil ?",['jeter un coup de oeil'],1489
"Je devrais aller jeter un coup d'oeil aux personnes du CMI.
","I should go check on the CDC people.
",['I should check in with the I.D.C. rep.\n'],1,il devoir aller jeter un coup de oeil à le personne de le CMI .,['jeter un coup de oeil'],1489
"C'est une grosse enquête; Le directeur assistant a besoin de savoir qu'il sera tenu au courant sans fioritures, donc...
","It's a big investigation; the assistant director needs to know that he'll be kept in the loop without any cartoons, so...
","[""It's a major case; the Assistant Director needs to know he's getting the facts without spin, so...\n""]",1,"ce être un gros enquête ; le directeur assistant avoir besoin de savoir que il être tenir à le courant sans fioriture , donc ...",['tenir à le courant'],1377
"Je ne suis pas fou de joie d'entendre ça, mais il faut se tenir au courant.
","I'm not thrilled to hear this, but we have to keep up.
","[""I'm not exactly bursting to hear it either. We've gotta know what's going on.\n""]",1,"il ne être pas fou de joie de entendre ça , mais il falloir se tenir à le courant .",['tenir à le courant'],1377
"Histoire que la police nous tienne au courant de l'enquête.
","So the police can keep us up to speed on the investigation.
",['At least have NYPD keep us in the loop on the investigation.\n'],1,histoire que le police il tenir à le courant de le enquête .,['tenir à le courant'],1377
"Ils veulent prendre des notes, se tenir au courant, mais si ça leur sautait au visage, ils ne seraient pas responsables.
","They want to take notes, keep up, but if it were in their faces, they wouldn't be responsible.
","[""It's like they want to keep tabs on this. They want to stay on top of it, but if it blows up in their faces, then they don't have to take responsibility for it.\n""]",1,"il vouloir prendre un note , se tenir à le courant , mais si ça lui sauter à le visage , il ne être pas responsable .",['tenir à le courant'],1377
"On jette un coup d'oeil et on te tient au courant.
","We'll take a look and let you know.
","[""We'll take a look and get back to you.\n""]",1,on jeter un coup de oeil et on lui tenir à le courant .,"['tenir à le courant', 'jeter un coup de oeil']",1377
"j'envisage de changer de camp. Je vous tiens au courant, je vous dirai si ça marche.
","I'll let you know if it works.
","[""It's a question you haven't asked,mikayla,and i'm so surprised.\n""]",1,"il envisager de changer un camp . il il tenir à le courant , il il dire si ça marcher .","['tenir à le courant', 'ça marcher']",1377
"J'appelais juste pour vous tenir au courant des nouvelles.
","I was just calling to let you know how it goes.
","[""I'm just calling to give you an update.\n""]",1,il appeler juste pour il tenir à le courant de le nouvelle .,['tenir à le courant'],1377
"Vous avez tourné la page.
","You've moved on.
",['Closure.\n'],1,il avoir tourner le page .,['tourner le page'],1349
"Ils se féliciteront et tourneront la page.
","They'll congratulate each other and move on.
","[""They'll pat themselves on the back and they'll forget about it.\n""]",1,il se féliciter et tourner le page .,['tourner le page'],1349
"Tu dois tourner la page. Comment ça ?
","You need to move on.
",['You have to let it go.\n'],1,il devoir tourner le page . comment ça ?,['tourner le page'],1349
"Non... Tournons la page.
","No... let's move on.
","[""Now it's just time to let go.\n""]",1,non ... tourner le page .,['tourner le page'],1349
"Ma cliente est prête à tourner la page.
","My client is ready to move on.
",['My client is ready to put this behind her.\n'],1,son client être prêt à tourner le page .,['tourner le page'],1349
"Fais ce que tu veux, j'en ai rien à foutre.
","Do what you want. I don't give a fuck.
",['Suit yourself. See if I care.\n'],1,"faire ce que il vouloir , il en avoir rien à foutrer .",['en avoir rien à foutrer'],1002
"De toute façon, j'en ai rien à foutre.
","Anyway, I don't give a shit.
","[""I don't care what the hell you're doing.\n""]",1,"de tout façon , il en avoir rien à foutrer .",['en avoir rien à foutrer'],1002
"Votre argent et vos amis puissants, j'en ai rien à foutre, Gartley.
","I don't give a shit about your money or your powerful friends, Gartley.
","[""Hey, all your powerful friends and all your money don't mean shit to me, Gartley.\n""]",1,"son argent et son ami puissant , il en avoir rien à foutrer , Gartley .",['en avoir rien à foutrer'],1002
"Si tu te sens seul, comme si on en a rien à foutre de toi... et que le monde entier en a rien à cirer, moi, je suis là.
","If you're lonely, like nobody gives a shit about you... and the whole world gives a shit, I'm here.
","[""If you're feeling alone, like nobody in the world cares... and nobody in the fucking world gives a shit, then I'm here.\n""]",1,"si il lui sentir seul , comme si on en avoir rien à foutrer de lui ... et que le monde entier en avoir rien à cirer , lui , il être là .","['en avoir rien à foutrer', 'en avoir rien à cirer']",1002
"J'en ai rien à foutre.
","I don't give a fuck.
","[""I'm not giving you shit.\n""]",1,il en avoir rien à foutrer .,['en avoir rien à foutrer'],1002
"""J'en ai rien à foutre de Mozart !"" Parfait !
","""I don't give a shit about Mozart!"" Perfect!
","['""I do not give a shit about Mozart!"" Perfect! Remove.\n']",1,""" il en avoir rien à foutrer de Mozart ! "" parfait !",['en avoir rien à foutrer'],1002
"Tu es crevée après ce voyage.
","You're tired after this trip.
","[""You're tired after all that travelling.\n""]",1,il être crever après ce voyage .,['être crever'],798
"Je suis crevé, et j'en ai marre de tout ça.
","I'm tired, and I'm tired of this.
","[""I'm just tired and just really tired of all of it.\n""]",1,"il être crever , et il en avoir marre de tout ça .","['être crever', 'en avoir marre']",798
"Tu es crevé. Tu es en train de guérir.
","You're tired, you're healing.
","[""Uh, like...you're tired.\n""]",1,il être crever . il être en train de guérir .,"['être crever', 'être en train de']",798
"Voilà pourquoi je suis crevée!
","That's why I'm tired!
","[""Well, that's because I'm tired!\n""]",1,voilà pourquoi il être crever !,['être crever'],798
"- Je suis crevée, j'en ai marre.
","- I'm tired, I'm tired.
","[""I'm tired and I'm bored. What are you bored of?\n""]",1,"- il être crever , il en avoir marrer .","['être crever', 'en avoir marre']",798
"Le réveil sonne, vous vous êtes levé tôt, vous êtes crevé, sonné.
","The alarm's ringing, you're up early, you're tired, you're stunned.
","[""So you get up in the morning, you're exhausted, groggy.\n""]",1,"le réveil sonner , il il être lever tôt , il être crever , sonné .",['être crever'],798
"Ma cliente était crevée.
","My client was tired.
",['My client was wasted.\n'],1,son client être crever .,['être crever'],798
"Je suis crevé.
","I'm tired.
","[""Yeah, I'm pretty beat. Well, I need you.\n""]",1,il être crever .,['être crever'],798
"Soit parce qu'elle est canon soit parce que c'est la seule fille du groupe. Mais dans tous les cas, je suis fou d'elle.
","Either because she's hot or because she's the only girl in the group, but either way, I'm crazy about her.
","[""I don't know whether it's 'cause she's hot or maybe it's 'cause she's the only girl around, but... either way, I'm totally smitten.\n""]",1,"soit parce que il être canon soit parce que ce être le seul fille de le groupe . mais dans tout le cas , il être fou de il .",['être canon'],760
"Je parie qu'elle est canon.
","I bet she's hot.
","[""Something tells me she's a knockout!\n""]",1,il parier que il être canon .,['être canon'],760
"Et au fait, toi aussi t'es canon.
","And by the way, you're hot, too.
","[""By the way, I think you're hot, too.\n""]",1,"et à le fait , lui aussi lui être canon .",['être canon'],760
"Tu es canon.
","You're hot.
","[""You're the sexy one.\n""]",1,il être canon .,['être canon'],760
"Tu es en train de dire que ta sœur est canon ?
","Are you saying your sister's hot?
","[""What a freak! You're going to hell, man!\n""]",1,il être en train de dire que ta sœur être canon ?,"['être canon', 'être en train de']",760
"Il est canon.
","He's hot.
",['He looks proper lush.\n'],1,il être canon .,['être canon'],760
"Tu me prends la tête quand je bosse là-dessus ?
","Do you bite my head off when I'm working on this?
","[""You come at me when I'm dealing with this shit?\n""]",1,il se prendre le tête quand il bosser là-dessus ?,['prendre le tête'],694
"J'aimerais manger sans qu'on me prenne la tête.
","I'd like to eat without being bothered.
",['I would like to eat in peace.\n'],1,il aimerer manger sans que on se prendre le tête .,['prendre le tête'],694
"Il a pris la tête et fonça vers la clôture.
","He took the lead and ran for the fence.
",['When he took the lead he fought for the rail.\n'],1,il avoir prendre le tête et foncer vers le clôture .,['prendre le tête'],694
"Savage prend la tête pour Angkor ! - Allez, Savage !
","Savage takes the lead for Angkor!
",['Savage now in the lead for angkor.\n'],1,"Savage prendre le tête pour Angkor ! - aller , Savage !",['prendre le tête'],694
"Je sais qu'il est ici, et ça me prend la tête.
","I know he's here, and it's pissing me off.
","[""I know that he's over there right now and it's drilling a hole in my brain.\n""]",1,"il savoir que il être ici , et ça se prendre le tête .",['prendre le tête'],694
"Et la police n'en avait rien à faire.
","And the police didn't care.
","[""Stolen. The police couldn't have cared less.\n""]",1,et le police ne en avoir rien à faire .,['en avoir rien à faire'],602
"J'en ai rien a faire de vivre les deux prochaines heures.
","I don't care about living the next two hours.
","[""Look, I don't care about living through the next two hours.\n""]",1,il en avoir rien à faire de vivre le deux prochain heure .,['en avoir rien à faire'],602
"Au lieu de leur rentrer dedans comme si tu n'en avais rien à faire.
","Instead of walking into them like you don't care.
","[""Instead of coming across like you don't care.\n""]",1,à le lieu de lui rentrer dedans comme si il ne en avoir rien à faire .,['en avoir rien à faire'],602
