source,references,hypothesis,type
"Jos puhut minulle vielä kerran, leikkaan kurkkusi auki.","[""You're talking to me again and I'll cut your throat""]","If you talk to me one more time, I&#39;ll cut your throat open.",literal
Koodi sata First York-aukion pohjoispuolella.,"['Code one hundred. First York plaza, north of the square.']",Code one hundred north of First York Square.,literal
"Ajattelin niin siihen asti, kun viilsin kurkun auki.",['And I thought so right up till I slit his throat.'],I thought so until I slit my throat.,literal
Hänen kurkkunsa on viilletty auki...,"[""The throat's been cut.""]",His throat is slit open...,literal
Hänen rintansa oli viilletty auki.,['His chest was all cut up.'],Her chest was sliced open.,literal
Sinun asiakkaitasi eli persaukisia feministejä.,"[""Your clients. You mean the bleeding-heart feminists who don't pay the bills?""]","Your customers, i.e. fucking feminists.",literal
"""Senkin persaukinen runkku.""",['Women are always complaining about something.'],"&quot;Fucking body, too.&quot;",literal
-Joko he eivät pidä hänestä tai firma on persaukinen.,"[""Either they don't like him, or the rumors are true--""]",-Either they don&#39;t like him or the company is an asshole.,literal
Olet persaukinen ja aina poissa.,['He needs more than a deadbeat mother.'],You&#39;re a jerk and always gone.,literal
Persaukiset ei kelpaa.,"[""I don't want bums in here.""]",Persaukis are not suitable.,literal
- Jätä takki auki.,['- Leave it open.'],- Leave the jacket open.,literal
- Takki auki!,['–Open your jacket!'],- Jacket open!,literal
Isäntä kuljeskelee kotona kylpytakki auki.,"['My boss comes out of the bathroom with his robe open,']",The host walks around the house with his bathrobe open.,literal
"Kun saavuin, hän seisoi käytävällä aamutakki auki ja näytti villiltä.","['I got there, Yvette, I walked in, she was standing in the hallway looking wild, robe open, no gown, breasts hanging, just looking wild.']","When I arrived, he was standing in the hallway with his dressing gown open, looking wild.",literal
"Hänellä on ollut kylpytakki auki 30 vuotta, mutta nyt hän ei ole säädyllinen.","[""The woman hasn't tied her robe in 20 years. Suddenly she's not decent?""]","He&#39;s had his bathrobe open for 30 years, but now he&#39;s not modest.",literal
"- Olen ajanut väärään suuntaan jossain vaiheessa, - enkä löydä huoltoasemaa, joka olisi auki.","[""Can i help you? I have taken a wrong turn somewhere and can't find a gas station that is open.""]","- I&#39;ve driven in the wrong direction at some point, - and I can&#39;t find a gas station that&#39;s open.",literal
"""Jotka ovat auki kellon ympäri auttamassa siirtymä vaiheessa""","['""Wich will be opened around the clock to aid in the transition""']",&quot;Which are open around the clock to help in the transition phase&quot;,literal
Tarvitsisimme vaiheisen räjäyttääksemme sen auki.,"[""We'd need a phaser to blast it open.""]",We&#39;d need a phaser to blow it open.,literal
"Yksi kakkosvaiheen osallistujista jättäytyi pois, joten paikka on auki.","[""We're in a very limited Phase 2 efficacy trial, but one of the participants has dropped out, ****""]","One of the participants in the second phase dropped out, so the place is open.",literal
"En ehkä tänään tai huomenna, mutta jossain vaiheessa revin kurkkusi auki, ja sitten sinä kuolet.","[""Maybe not today, maybe not tomorrow, but at some point I'm gonna rip open up your throat, and you're gonna die.""]","Maybe not today or tomorrow, but at some point I&#39;ll rip your throat open, and then you&#39;ll die.",literal
Tuuletusaukoista pääsee ilmaa kaivokseen.,['Plenty of air in that old mine. Comes in from them ventilating shafts.'],Air enters the mine through the vents.,literal
Heittäisimmekö hänet ulos ilmalukosta?,['That we throw it out of an air lock?'],Shall we throw him out of the airlock?,literal
Heitä noppia ja pelaa.,"['Go, roll the dice and play.']",Roll the dice and play.,literal
Hän heitti partiolaiskeksini roskiin.,['He threw away my girl scout cookies.'],He threw my Girl Scout cookies in the trash.,literal
Heitit vaasin päähäni kolme vuotta sitten ja minä jäin. Sinä väistit.,['You threw a vase at me 3 years ago and did not go away.'],You threw a vase at my head three years ago and I stayed. You dodged.,literal
- Heitin sen menemään.,['Threw it away.'],- I threw it away.,literal
Tämä heitti veivinsä. - Varo laukaisinta,['Watch the detonator.'],This one threw its weight. - Watch out for the trigger,literal
"Mutta tämä kama heittää käsityskyvyn ovet niin auki, että voi nähdä kokonaan uuden maailman.","[""But this stuff, it, like, swings the doors of perception so wide open,... ..you can see a whole nother world out there. But it's still like this world, you know.""]",But this stuff throws the doors of perception so open that you can see a whole new world.,literal
"Jätin auton ovet auki - hän heitti roskat kyytiin, ja häivyimme paikalta.","['I was to have the doors open so she could throw the garbage in, and then we took off.']","I left the car doors open - he threw the trash in the car, and we disappeared.",literal
"Toimistoni on auki, jos haluatte heittää kamat pöydälleni.","['So, anyways, my office is unlocked if you guys just wanna, like, toss that on my desk or whatever.']",My office is open if you want to throw stuff on my desk.,literal
"Sinne voi ajaa, potkaista portin auki ja heittää, mitä tahtoo.",['Anyone can drive in there ...kick open a gate and dump whatever the hell they want.'],"You can drive there, kick open the gate and throw whatever you want.",literal
Kukaan ei voisi pitää ovea auki tarpeeksi pitkään heittääkseen ruumiin.,"[""There's no way that I could keep that open long enough to dump a body.""]",No one could hold the door open long enough to dump the body.,literal
"Yksi naisista heitti minulle vaiheisen, ja ammuin.",['One of the women threw me a phaser and I fired.'],One of the women threw a phaser at me and I fired.,literal
"Heitin ne vain roskikseen jossain vaiheessa, mikä tallentui turvakameraan.",['I just tossed them in a dumpster eventually. Which got caught on a grainy security camera.'],"I just threw them in the trash at some point, which was caught on the security camera.",literal
Siinä vaiheessa heitetään valokuvia laajakankaalle. -Valokuviako?,"[""And then at that point we've got some photos that we're gonna throw up on the big screen.""]","At that point, photos are thrown on the big screen. -Photos?",literal
Heität pyyhkeen kehään jo tässä vaiheessa.,"[""So you've already thrown in the towel?""]",You&#39;re already throwing in the towel at this point.,literal
Vaihe yksi on kuin heittäisi siiman veteen.,['Stage One is like throwing a fishing line out'],Step one is like throwing a line into the water.,literal
- Hevosemme karkasivat.,['Our horses ran away.'],- Our horses ran away.,literal
Ei se hevonen karkaa ennen kisan alkua.,"[""The horse isn't going anywhere until the race starts.""]",That horse won&#39;t run away before the start of the race.,literal
"Menetin tänään työni, hevoseni karkasi...","['Sir, I lost my job today. My horse ran away.']","I lost my job today, my horse ran away...",literal
"Avasin tallin, ja hevonen karkasi.",['I opened up the stable. The horse ran away.'],"I opened the stable, and the horse ran away.",literal
Hevoset karkaavat!,['The horses are fleeing!'],The horses are running away!,literal
Ja penska hyppi seinille.,['And the kid was climbing the walls.'],And the bush jumped on the walls.,literal
Älkää alkako hyppiä seinille.,"[""Just don't start climbing the walls.""]",Don&#39;t start jumping on the walls.,literal
Luultavasti hyppii seinille juuri nyt.,['Probably climbing the walls right now.'],Probably jumping on walls right now.,literal
"Hän hyppii seinille Myöhemmin, kun olette kahden, hän käskee sinun pysyä minusta erossa.","[""He'll be climbing the walls. Later, when you're alone, he'll order you to stay away from me.""]","He jumps on the walls Later, when you&#39;re two, he tells you to stay away from me.",literal
Meidän molempien ei ole järkeä jäätyä kuoliaaksi.,"[""There's no reason for both of us to freeze to death in here.""]",It makes no sense for both of us to freeze to death.,literal
Kuulen veden virtaavan kivien alla.,['- I hear water flowing under these stones.'],I can hear the water flowing under the stones.,literal
Kiven allako sinä olet piileskellyt?,['Where have you been living? Under a rock?'],Have you been hiding under a rock?,literal
Kuoppa on tuon kiven alla.,"['The sinkhole is in there, under that rock.']",The pit is under that rock.,literal
Elätkö kiven alla?,"['what, do you live underground?']",Are you living under a rock?,literal
"Ennemmin tai myöhemmin kyllästyt - kiven alla elämiseen, ja egosi janoaa loistokasta paluuta elävienkirjoihin.","[""Sooner or later, you will get tired of whatever rock you're living under and your ego won't be able to resist the urge to announce your glorious return to the living.""]","Sooner or later you get tired of living under a rock, and your ego thirsts for a glorious return to the books of the living.",literal
"-Ei. Jossain on koira haudattuna, mutta sitä ei näe - kaikelta hiekalta.","[""There's a dog buried somewhere, but you can't see him because there's sand everywhere.""]","-No. There is a dog buried somewhere, but you can&#39;t see it - from all the sand.",literal
"Jos käsi murtuu, tai jalka, kalsium korjaa luut ennalleen.","['You break a hand, you break a leg after a while, calcium joins it back together.']","If an arm is broken, or a leg is broken, calcium will repair the bones.",literal
Uhrin oikeassa nilkassa on pystysuora tappi - joka on kiinnitetty kirurgisesti korjaamaan luunmurtumaa.,"[""The victim's right ankle has a vertical transarticular pin that was surgically implanted to fix a past fracture.""]",The victim&#39;s right ankle has a vertical pin - surgically attached to repair a broken bone.,literal
Korjaan luut - mutta niiden uusiminen...,"['I can mend bones in a heartbeat, but growing them back....']",I repair bones - but renewing them...,literal
"Ja kuin menneen talven lumet, poissa.","['And like the snows of yesteryear, gone from this earth.']","And like the snows of last winter, gone.",literal
"Hyvä on, menen piparittomana.","[""All right, I'll go cookie-less.""]","All right, I&#39;ll go pepperless.",literal
Jonkun on pakko leikata vanhat oksat pois.,"[""- Someone's got to do it. Someone's got to cut away the old wood.""]",Someone has to cut the old branches off.,literal
-Sinä olet lammasfarmari.,"[""Well, you're a sheep farmer. Let me ask you something.""]",- You are a sheep farmer.,literal
"- Jos se on lammas, mä en pane sitä.","[""-If it's a lamb, I won't fuck it.""]","- If it&#39;s a sheep, I won&#39;t wear it.",literal
Mutta missä on lammas polttouhriksi?,"[""But where's the lamb?""]",But where is the lamb for the burnt offering?,literal
"Harmi, ettei lehdistötilaisuudessasi ollut lammasta.","[""Too bad they didn't have lamb at your press conference, Francis.""]",Too bad there was no lamb at your press conference.,literal
Olet lammasniityllä!,"[""You're in Sheep Meadow!""]",You are in a sheep meadow!,literal
Suoraan sanoen minulla on oma lehmä ojassa.,"['To put it bluntly, my ox is in the ditch.']","Frankly, I have my own cow in the ditch.",literal
"Koska hänen sormissaan on kovettumia, - ja hänen mekkonsa tuoksuu hienoisesti pihkalle.",['Because of the calluses on her fingertips and the faint piney scent of rosin on her dress.'],"Because she has calluses on her fingers, and her dress smells faintly of resin.",literal
Sitä saadaan intialaisten boswelliapuiden pihkasta.,"[""It's, derived from the gum of boswellia trees, native to India.""]",It is obtained from the resin of Indian boswellia trees.,literal
Näköjään pihkan voi palauttaa kaasumuotoon vain hetkellisesti.,['It looks like the amber can only be reverted to its gaseous state momentarily.'],"Apparently, the resin can be returned to gas form only momentarily.",literal
Meidän pitää antaa heille meripihkan jyviä... -... jaTripolinrannat.,"[""We're gonna have to give them the amber waves of grain... the purple mountains majesty and the shores of Tripoli.""]",We must give them amber grains... -... and the shores of Tripoli.,literal
Potkaisin tyhjää ruukkua. Siitä lensi multaa lattialle.,['I bumped over this empty pot and displaced some of the soil here.'],I kicked the empty pot. Mulch flew from it onto the floor.,literal
Vaiheisella on ammuttu siirrinhuone 1:ssä.,"['Commander, a phaser has been fired in Transporter Room 1.']","In the stage, the transplant room 1 has been shot.",literal
"Sano, jos haluat lemmiskellä. Autan mielelläni muutosvaiheessa.","['Well, let me know if you wanna make out because I would totally be into helping you transition.']",Say if you want a pet. I will be happy to help in the change phase.,literal
"Siinä vaiheessa - tappaja tunki Anabellen ruumiin Oraakkelin kapseliin - tietämättä, että laukaisemalla tykin - hän jätti ratkaisevan todisteen.","[""CASTLE: At that point, the killer stashed Anabelle's body in the Oracle Pod, not knowing that by firing the Thorian Blaster, they were leaving behind crucial evidence.""]",At that point - the killer stuffed Anabelle&#39;s body into the Oracle&#39;s capsule - not knowing that by firing the cannon - he left a crucial piece of evidence.,literal
Kauanko sutenöörivaihe kestää?,['How long does this pimp stage last?'],How long does the pimp phase last?,literal
"Tyrmäät minut jossain vaiheessa, joten parasta hoitaa se alta pois.","[""Sooner or later, you're going to punch my lights out. So... I figure... better get it over and done with.""]","You&#39;re going to knock me out at some point, so best get it out of the way.",literal
Olen todella vetänyt hirsiä!,['Have I been sawing wood up there!'],I&#39;ve really been pulling logs!,literal
"En, vedän hirsiä kymmeneltä.","[""No, no, I'll be sawing wood at 10:00.""]","No, I pull the log at ten.",literal
Hän on äitinsä näköinen.,"[""Got his mother's looks.""]",She looks like her mother.,literal
"Irvistit. ""Olet äitisi näköinen.""","['You made a face. ""You look like your mother.""']",You grimaced. &quot;You look like your mother.&quot;,literal
Olet kyllä ihan äitisi näköinen.,"[""If you ain't the spitting image of your mama.""]",You look exactly like your mother.,literal
"Hän on todellakin äitisi näköinen, eikö olekkin?","[""She does have quite a resemblance, doesn't she?""]","She really does look like your mother, doesn&#39;t she?",literal
"Isi, olenko minä sinun vai äidin näköinen?","['Daddy, do I look more like you or Mommy?']","Dad, do I look like you or mom?",literal
"""Onneksi tyttö on äitinsä näköinen."" Olen samaa mieltä.","['He said, ""Thank God she looks like her mama."" I\'d have to agree.']","&quot;Fortunately, the girl looks like her mother.&quot; I agree.",literal
-Ihan äidin näköinen.,['-He looks like his mother.'],-Just like mom.,literal
