sent,reference,translation
Tämä kartta esittää maapallon maatalousalueita .,This map shows the presence of agriculture on planet Earth .,This is a map of the world's agricultural areas.
Se vie 16 miljoonaa neliökilometriä maa-alasta .,That &apos;s 16 million square kilometers &apos; worth of land .,It's taking 30 million square miles of land.
Käytämme jo kaiken planeettamme maa-alasta .,We &apos;re using a planet &apos;s worth of land already .,We're already using up all the land on our planet.
Neuvostoliitossa ei todellakaan ollut mitään Sierra Club -ympäristöjärjestöä .,The Soviet Union didn &apos;t really have a Sierra Club .,There really wasn't a Warner Club environmental organization in the Soviet Union.
Maatalous kuormittaa myös suurta osaa ilmakehästä .,We also use a lot of the atmosphere for agriculture .,And there's also a large portion of the atmosphere that is radically burdened by farming.
Miltä kauniin naisen tulee näyttää ?,What does a beautiful woman have to look like ?,What must a beautiful woman look like?
Kukaan ei tiennyt — kaikki luulivat niiden olevan puiset saappaat .,Nobody knew — everyone thought they were wooden boots .,No one knew - everyone thought they were wooden boots.
Se ei ole enää keskustelu vajaavuuden voittamisesta .,It is no longer a conversation about overcoming deficiency .,It's no longer a conversation about overcoming mental incompetence.
Aivoilla näkemistä kutsutaan usein mielikuvitukseksi .,And seeing with the brain is often called imagination .,Seeing with your brain is often called imagination.
Ne eivät tunnu omilta luomuksiltamme .,They don &apos;t seem to be of our creation .,They don't feel like our own creations.
Ne eivät tunnu olevan vallassamme .,They don &apos;t seem to be under our control .,They don't seem to be under our control.
Ne tulevat tiettyyn kohtaan ja pysähtyvät .,They come to a certain point and then stop .,They come to a certain point and stop.
"Eikä hän tiennyt , mitä oli tapahtumassa .",And she didn &apos;t know what was going on .,And he didn't know what was happening.
"Isoisä oli rauhantuomari , vanhahko mies .","His grandfather was a magistrate , an elderly man .","Grandfather was a justice of the peace, an elderly man."
Sitten hän näki ison renkaan ilmassa .,And then he saw a big wheel in midair .,Then he saw a big ring in the air.
Ne ovat melko nopeita ja vaihtuvat äkisti .,"They are rather sudden , and they change suddenly .",They're pretty fast and change suddenly.
Asiat voivat olla hyvin monimutkaisia .,The things you see can be very complicated indeed .,Things can be very complicated.
Hän tapasi nähdä ennen kaikkea sarjakuvia .,"And , above all , she would see cartoons .","Mainly, he used to see comic books."
Erityisesti hän näki sarjakuvia Kermit-sammakosta .,And especially she saw cartoons of Kermit the Frog .,"In particular, he saw comic books about Kermit the Frog."
Aloin mietiskellä freudilaisia ratkaisuja .,"You know , I was wondering about Freudian determinants .",I began to meditate on Freudian solutions.
Mitä näille ihmisille on tapahtumassa ?,"Well , what is going on with these people ?",What's happening to these people?
On tietty tiistai-ilta silloin vuonna 1982 .,And it &apos;s that Tuesday evening back in 1982 .,It's a certain Tuesday night in 1988.
Tämä erikoistuneisuus on hyvin mielenkiintoista .,It &apos;s very interesting that that should be specific .,This specialty is very interesting.
"( Naurua ) Satuin näkemään Aston Martinin aamulla ,",( Laughter ) I saw an Aston Martin this morning .,I happened to see an Aston Martin this morning.
Itse asiassa oma näköni on hieman heikentynyt .,And actually I &apos;m a little visually impaired myself .,"Actually, my eyesight is a little compromised."
Olen homoseksuaalinen kommentaattori Fox Newsissä .,I am a gay talking head on Fox News .,I'm a homosexual commentator for Fox News.
"Ensinnäkin , että kirjoitatte sen oikein .","One , I care that you spell it right .","First, that you spell it right."
Vai haluatteko todella satuttaa minua henkilökohtaisesti ?,Or do you really want to hurt me personally ?,Or do you really want to hurt me personally?
Lukutaitoon riittää 1000 .,"You only need 1,000 to understand the basic literacy .","For literacy, it's $1,000."
"Laitetaan suu oven sisälle , kysyä kysymyksiä .","Put a mouth inside the door , asking questions .","Let's put your mouth inside the door, ask questions."
"Ihminen Japanin jälkeen , mitä saadaan ?","A person behind Japan , what do we get ?","Man after Japan, what do we get?"
Yhden käden menettäminen ?,You think it &apos;s bad to lose one arm ?,Losing one hand?
Ajattelin niitä poikia ilman käsiä .,I keep thinking about these kids with no arms .,I was thinking about those boys with no hands.
Yhteiskunnassamme ja kulttuurissamme on jotakin mielenkiintoista .,I &apos;ve noticed something interesting about society and culture .,There's something interesting about our society and our culture.
Älä myöskään tuhoa sitä mitä olet korostanut .,"Also , don &apos;t delete what you &apos;ve highlighted .",And don't destroy what you've enhanced.
"Aikaa on rajatusti , joten mitä teemme ?","Time is scarce , so what do we do ?","Time is limited, so what do we do?"
Vaikka he toisinaan eivät tekisi mitään .,And even if they sometimes do nothing at all .,Even if sometimes they do nothing.
Me olemme tällaisessa hyvin taitavia .,We &apos;re very good at this sort of thing .,We're very good at this kind of thing.
Yksi nukeista saattoi pitää vihreistä pavuista .,So one of the puppets might like green beans .,One of the dolls might have liked the green beans.
"Sinä yönä et nuku , kun pohdit asiaa .",You would not sleep that night wondering about that .,It's the night you don't sleep when you think about it.
Sidomme itseämme myös muilla tavoin .,And we bind ourselves in other ways as well .,"We tie ourselves up in other ways, too."
"Prosentin verran kokonaisväestöstä ,",This is about one percent of the total population .,One percent of the population.
Hän vei viimeisenkin toivon kipinän sisimmästäni .,He robbed every ounce of hope from my being .,He took the last spark of hope from inside me.
miten he eroavat meistä muista ?,How do they differ from the rest of us ?,How are they different from the rest of us?
Se ei hymyilytä koko ajan .,What you get out of that is not smiley-ness .,It doesn't smile all the time.
Nyt voitte avata silmänne .,"Now , OK , you can open your eyes .",Now you can open your eyes.
Opin tämän omakohtaisesti seuraavassa seikkailussani .,I learned this firsthand with my next adventure .,I learned this firsthand on my next adventure.
Tässä suurennos siitä .,That &apos;s a good close-up of that one .,Here's the enlargement.
"Miehen , joka kääntyy minua kohden ja hymyilee .",A man who turns towards me and smiles .,A man who turns to me and smiles.
Sitten eräänä iltana näkymä muuttuu .,"Then , one night , the scene changes .","Then one night, the view changes."
Näen kissoja ja koiria tassuttelemassa tyköni .,I see cats and dogs walking towards me .,I see cats and dogs pawing at me.
Minä kerroin hoitajille .,"Well , so I did tell the nurses .",I told the nurses.
Tavallisesti ne eivät haalistu tai voimistu vähitellen .,They don &apos;t usually fade in and out .,"Normally, they don't fade or get stronger."
Näköhavainnon kertautumista kutsutaan joskus palinopsiaksi .,This repetition of perception is sometimes called palinopsia .,The reconstruction of sights is sometimes referred to as cryogenics.
Toiseksi yleisimpiä ovat sarjakuvat .,And one of the second commonest is cartoons .,Second most common are comic books.
&quot; Kermit ei merkitse minulle mitään . &quot;,&quot; Kermit means nothing to me . &quot;,Kermit means nothing to me.
C.A. : &quot; &quot; Eivätkä ne häiritse teitä ?,CA : And they don &apos;t disturb you ?,And they don't bother you?
Tässä on ihminen kävelyllä .,This is a person going for a walk .,This is a person walking.
Kolme puuta muodostavat isomman metsän .,"Three trees together , we create the forest .",Three trees form a larger forest.
"Jos on kaksi tulta , tulee todella kuuma .","Two fires together , I get really hot .","If there's two fires, it's really hot."
Vasemmalla on nainen .,"On the left , we have a woman .",There's a woman on the left.
"Kaksi naista , saadaan väittely .","Two women together , they have an argument .","Two women, we have a debate."
Olemme käyneet läpi noin 30 merkkiä .,So we have gone through almost 30 characters .,We've been through about 30 signs.
Nykyään karkotus on muuttunut ulosmenemiseksi .,"Nowadays , exile has turned into getting out .","These days, deportation has turned into an outing."
Näytimme sen muutamalle pojista .,We showed it to a bunch of guys .,We showed it to some of the boys.
Siinä on 14 vapausastetta .,It &apos;s got 14 active degrees of freedom .,That's 14 degrees of freedom.
Jokainen painallus suurentaa tekstiä .,You make the text larger with each tap .,Each button will enlarge the text.
Minulla oli kaksi kysymystä .,And I had two questions in my head .,I had two questions.
Kun taas länsimaissa aika on lineaarinen .,"Whereas in the West , time is linear .","Whereas in the West, time is linear."
Sitä joko käyttää tai menettää .,"You either use it , or lose it .",You either use it or lose it.
Halutaan takaisin hitaampaan rytmiin .,They want to get back to slower rhythms .,We want to go back to a slower rhythm.
Tekevätkö päättäjät hyviä päätöksiä puolestani ?,Are politicians making good decisions on my behalf ?,Do leaders make good decisions for me?
Pitää liikkua heidän rytmissään .,They need you to move at their rhythm .,You have to move in their rhythm.
"Smith kysyy , miten reagoit ?","And Smith says , how would you respond ?",Smith wants to know how you reacted.
"Sillä on suuri merkitys , Smith sanoo .","Smith says , that would matter a lot .","It matters a great deal, Smith says."
Berkeley Bionicsilla kutsumme näitä robotteja exoskeletoneiksi .,We at Berkeley Bionics call these robots exoskeletons .,"At Berkeley Bionics, we call these robots exoskeletons."
Tämä ei ole pelkkää toiveajattelua .,This is just not some blue sky thinking .,This is more than wishful thinking.
EB : Amandalla on yllään eLEGS-varusteemme .,EB : Amanda is wearing our eLEGS set .,Amanda's wearing our EMFS gear.
Itse asiassa ihmiset ovat täysin riippuvaisia siitä .,"In fact , we completely depend on it .","In fact, people are totally dependent on it."
Tarvittaisiin ravinteita ja vettä .,"Now , this would require nutrients and water .",We'd need nutrients and water.
Nyt ihmisiä on lähes seitsemän miljardia .,"Today , we &apos;re nearing 7 billion people .",Now there are nearly seven billion people.
lähes Etelä-Amerikan kokoinen alue .,That &apos;s almost the size of South America .,It's almost the size of South America.
Nykyisin monen suuren joen virtauma on vähentynyt .,"Today , many large rivers have reduced flows .","Today, the flow of many major rivers has diminished."
Ja minusta se oli hauskaa .,And I was having fun with it .,And I thought it was funny.
Työskentelen pääosin vanhainkodeissa .,"I work in old-age homes , largely .",I work most of my time in retirement homes.
"Hän tiesi , että se oli hallusinaatio .",And he knew it was a hallucination .,He knew it was a hallucination.
Nenäliinoja ei roiku ilmassa .,You don &apos;t have handkerchiefs in midair .,There are no tissues hanging in the air.
"Se oli ainoa hahmo , jonka hän tunnisti .",That was the only figure he recognized .,It was the only character he recognized.
Hänellä oli hyvin liikkuvaisia hallusinaatioita .,She had very mobile hallucinations as well .,He had very motile hallucinations.
Ne viettelevät . Ne nöyryyttävät .,They seduce you . They humiliate you .,"They seduce, they humiliate."
Seisoo tietyssä kadunkulmassa .,You &apos;re at a particular road junction .,Standing on a certain street corner.
Odottelemassa tyttöystäväänsä .,And you &apos;re waiting for your girl .,Waiting for his girlfriend.
Charles Bonnet -hallusinaatiot ovat ihan erilaisia .,The Charles Bonnet ones are quite different .,The Charles Wiet hallucinations are completely different.
Nyt se on täällä jossakin .,And now it &apos;s in there somewhere .,Now it's around here somewhere.
Ajatelkaa sokeiden määrää .,Think of the number of blind people .,Think of the number of blind people.
O.S. : &quot; &quot; Kiitoksia . Kiitoksia . &quot; &quot;,OS : Thank you . Thank you .,Thank you.
Se on melkein juuri sellaista .,It &apos;s totally almost just like that .,It's almost exactly like that.
Saamani vihaposti on uskomatonta .,The hate mail I get is unbelievable .,The anger mail I'm getting is incredible.
Annan teille pienen esimerkin .,Let me give you a small example .,I'll give you an example.
Poliittinen suostuttelu alkaa olemalla emotionaalisesti korrekti .,Political persuasion begins with being emotionally correct .,Political persuasion begins to be emotionally correct.
"En sano , että se on helppoa .",I &apos;m not saying it &apos;s easy .,I'm not saying it's easy.
Kiinalainen oppinut ymmärtää noin 20 000 : a merkkiä .,"A Chinese scholar would understand 20,000 characters .","A Chinese scholar understands about 20,000 signs."
Välilyöntinäppäin selaa sivun alaspäin .,The space bar scrolls down one page .,The space bar's pointing down the page.
"Kävin nämä lävitse todella nopeasti . Jos jotain meni ohi ,",So I know I went super fast .,I went through this really fast.
Joissain kulttuureissa aika on syklinen .,"In other cultures , time is cyclical .","In some cultures, time is a cycle."
Se on alati uudistuva ja kertautuva .,It &apos;s always renewing and refreshing itself .,It's usually renewable and renewable.
Joku teistä saattaa kiistää tämän .,Now some of you may reject this .,One of you may deny this.
Tajfel syntyi Puolassa 1919 .,Tajfel was born in Poland in 1919 .,The Taj Mahal was born in Poland in 1935.
varovaisestikin arvioiden .,And that &apos;s actually a conservative estimate .,I'm being cautious.
( Suosionosoituksia ) Kiitos . ( Suosionosoituksia ),( Applause ) Thank you . ( Applause ),Thanks.
Se on siis toinen tie . Ensimmäinen on positiiviset tunteet .,"So , that &apos;s the second path .",The first is positive feelings.
Pyrkimys merkityksellisyyteen on voimakkain .,The pursuit of meaning is the strongest .,The pursuit of meaning is the most powerful.
Araljärvi on luultavasti pahin .,This probably is : the Aral Sea .,Lake Aral is probably the worst.
Tämä on suurimittainen ympäristökatastrofi .,This is an environmental disaster writ large .,This is a massive environmental disaster.
Enemmän kuin koko liikenne .,That &apos;s more than all our transportation .,More than all the traffic.
Enemmän kuin kaikki sähkö .,It &apos;s more than all our electricity .,More than all the electricity.
Sen merkitys on ilmastonmuutoksen veroinen .,And it rivals climate change in importance .,It's as important as global warming.
Se vastaa miltei Saksan asukaslukua .,That &apos;s almost the size of Germany .,That's almost the population of Germany.
Mutta se ei ole ainoa ongelma .,But it &apos;s not the only problem .,But that's not the only problem.
"Kokonaisviljelyala on 16 milj. neliökilometriä ,",Global croplands cover 16 million km 2 .,The total acreage is 10 million square miles.
"Laitumina on 30 milj. neliökilometriä ,",Global pastures cover 30 million km 2 .,That's 100 million square miles of labs.
Miten tästä edetään ?,So where do we go from here ?,Where do we go from here?
"Joku , joka voisi olla superkykenevä .",Somebody that might even be super-abled .,Someone who could be super-potent.
Se on keskustelu lisäämisestä .,It &apos;s a conversation about augmentation .,It's a conversation about adding.
Se on keskustelu potentiaalista .,It &apos;s a conversation about potential .,It's a conversation about potential.
Menin tapaamaan häntä .,I went in to see her .,I went to see him.
Hän tiesi sen harhaksi .,She knew it was a hallucination .,He knew it was an illusion.
Täysin poissa hänen hallinnastaan .,She had no control over them .,Totally out of his control.
Tutkin hänet perusteellisesti .,"Well , I examined her carefully .",I examined him thoroughly.
Teillä on Charles Bonnet ́ n syndrooma .,And you have Charles Bonnet syndrome .,You have Charles Wiet Syndrome.
Silloin alkaa nähdä asioita .,And you start to see things .,You start to see things.
Mitä on tapahtumassa ?,"So , what is going on ?",What's happening?
oli pakko ottaa se mukaan .,I had to bring it in .,I had to take it with me.
Yhtäkkiä sitä . Yhtäkkiä tätä .,"Suddenly this , and suddenly that .",Suddenly this.
"Näen geometrisiä hallusinaatioita ,",And I see the geometrical hallucinations .,I'm having chronic hallucinations.
Kiitoksia hyvin paljon . &quot; &quot;,Thank you so much for sharing .,Thank you very much.
Eikä voi harrastaa seksiä ...,And you don &apos;t have sex .,He can't have sex...
"Ja se on vain osa , joka näkyy lähetyksessä .",And that &apos;s just on air .,And that's just part of the show.
Kutsun näitä kahdeksaa hahmoa radikaaleiksi .,I call these eight characters radicals .,I call these eight figures radicals.
"Kolme aurinkoa , välke .","Three together , that &apos;s sparkles .","Three suns, blink."
Kop kop . Onko ketään kotona ?,Knock knock . Is anyone home ?,"Knock, knock."
Eikä sitä voi tehdä .,And it can &apos;t be done .,And it can't be done.
Voit kirjoittaa sen päälle . Tämä toimii kaikissa ohjelmissa .,You can just type over it .,"You can write over it, it works on all the shows."
Mielestäni on useita syitä .,I think there are various reasons .,I think there are many reasons.
"Arvaatko , mikä tämä on ?",Can you guess what this is ?,Can you guess what this is?
Sanottakoon se noin .,Let &apos;s put it that way .,Let him put it that way.
Selvennetään asiaa .,But let &apos;s bring it home .,Let me get this straight.
Näettehän kaivetun kanavan ?,You see the canal they dug ?,You see the canal dug up?
Afrikan kokoinen alue .,That &apos;s the size of Africa .,It's the size of Africa.
Kaikkien on istuttava pöytään .,We need everyone at the table .,Everyone has to sit down.
Yksi vastaus oli George Clooney .,So one answer was George Clooney .,One of the answers was George Clooney.
He eivät vain pidä niistä .,They just don &apos;t like it .,They just don't like them.
"Hänen käy miestä sääliksi ,",So she &apos;s struck with pity .,She feels sorry for him.
Ensimmäinen shokki sattuu perkeleesti .,The first shock hurts like hell .,The first shock hurts like hell.
Silloin iski ahdistus .,And then the anxiety set in .,That's when the anxiety hit.
Masennus on viallista rakkautta .,Depression is the flaw in love .,Depression is defective love.
Pojallani oli vielä isä .,My son still had his dad .,My son had a father.
Se on mahtava kaupunki .,It &apos;s a perfectly great city .,It's a great city.
Se aloitti uskomattoman taipaleen .,This started an incredible journey .,It began an incredible journey.
Minkälainen keho on seksikäs ?,What is a sexy body ?,What kind of body is sexy?
Hallusinaatiot vaivasivat hänen isoisäänsä .,His grandfather had these hallucinations .,His grandfather was having hallucinations.
Hänelle oli tehty kaihileikkaus .,He &apos;d had cataract surgery .,She had cataract surgery.
Näkö oli heikonlainen .,His vision was pretty poor .,"Well, my eyes were weak."
Eli esiinnyn televisiossa .,So I go on television .,So I'm gonna be on television.
Välitän kahdesta asiasta .,I care about two things .,I care about two things.
Saattaisitte yllättyä .,You &apos;d totally be surprised .,You might be surprised.
"Joten tässäpä jotain , mitä ette odottaneet :",Now here &apos;s the kicker .,So here's something you didn't expect:
"Kaksi aurinkoa , onnekas .","Two suns together , prosperous .","Two suns, lucky you."
Kokonainen käsi . Olkapäästä amputoitu .,Whole arm . Shoulder disarticulation .,"A whole hand, amputated from the shoulder."
Kokosimme sen .,We put this thing together .,We put it together.
Hän aikoo raapia nenäänsä .,Going to scratch his nose .,He's going to scratch his nose.
Voimme olla väärässä .,Now we might be wrong .,We could be wrong.
Stereotypiat voivat myös mennä pieleen .,Stereotypes can also go awry .,It's one of those things that can go wrong.
Siihen on monia keinoja .,And there are different avenues .,There are many ways.
Tämä on Harriet Beecher Stowe .,This is Harriet Beecher Stowe .,This is Harriet Beecher Stowe.
Joten se on todellisuutta .,So this is for real .,So that's reality.
Raha oli todella tarpeen .,They really needed the money .,We really needed the money.
Kuvitelkaa tämän tapahtuneen Yläjärvelle .,Imagine that was Lake Superior .,Imagine this happened to Lake Superior.
Tai Huronjärvelle .,Imagine that was Lake Huron .,Or Lake Huron.
Muutos on erikoislaatuinen .,It &apos;s an extraordinary change .,It's an extraordinary change.
Aloitetaan tästä .,Let &apos;s start with this .,Let's start with this.
Nyt sinne voi kävellä .,You can walk there today .,Now it's a quick walk.
Vielä tärkeää on ruokavalion muutos .,"More importantly , changing diets .",The most important thing is a change in diet.
Kasvit tarvitsevat vettä ja ravinteita .,Plants need water and nutrients .,The plants need water and nutrients.
Kukaan ei kutsu häntä vammaiseksi .,Nobody calls her disabled .,Nobody calls him a retard.
Sitten tulee taas muutos .,Then it changes again .,Then there'll be another change.
Mutta hän oli sokea .,But she was blind .,But he was blind.
Ne pelottivat häntä .,And these frightened her .,They scared him.
Ne ivaavat .,They jeer at you .,They're mocking you.
Niiden kanssa ollaan vuorovaikutuksessa .,You interact with them .,You're interacting with them.
Tuntee paahdetun kastanjan tuoksun .,You smell chestnuts roasting .,You can smell the toasted chestnut.
mutta vain niitä . &quot; &quot;,But they stop there .,But only that.
konservatiivit ovat todella mukavia .,Conservatives are really nice .,The negatives are really nice.
Se on emotionaalista korrektiutta .,That is emotional correctness .,It's emotional blindness.
Tuloksena on suu .,You get a mouth .,The result is a mouth.
Tämä on puu .,This is a tree .,This is a tree.
Tämä on vuori .,This is a mountain .,This is a mountain.
"Se painaa 3,1 kilogrammaa .",This weighs 6.9 pounds .,It weighs 3.1 kilos.
Välilyönti ja toinen perään . Todella hienoa .,"Go space , space .",That's great.
Tuplaklikkaa sanaa . Katso 200 . Tuplaklikkaus .,Double click the word .,"Double the words, look at 200, double click."
Tajfel kiisti tämän .,And Tajfel rejected this .,The Tajcolo denied this.
Olemme rajoittaneet itseämme .,We have bound ourselves .,We've narrowed it down.
Toukan suu .,A caterpillar &apos;s mouth .,A caterpillar's mouth.
Aika merkillistä .,It &apos;s pretty extraordinary .,That's funny.
Ilmasto-olot ovat muuttuneet .,Weather patterns have changed .,Environment conditions have changed.
Jotkut kuivuvat kokonaan .,Some dry up altogether .,Some things get all dried up.
Pulmallinen tilanne ...,Here &apos;s the dilemma ...,That's a pickle.
Tämä on Hermann Göring .,This is Hermann Goering .,This is Sofia Goring.
Miksi sillä on merkitystä ?,Why does this matter ?,Why does that matter?
Söisitkö tämän ?,Would you eat this ?,Would you eat this?
Kipu vähenee .,The pain gets less .,The pain gets less.
mutta tarvitsemme lisää ideoita .,But we need more .,But we need more ideas.
Mutta totuus valehtelee .,But the truth lies .,But the truth lies.
Hulluttelukin on tärkeää .,So whimsy matters .,It's also important to get crazy.
Kiitoksia paljon .,Thanks very much .,Thank you very much.
Oletteko valmiita ?,You are ready ?,Are you ready?
Japanilainen .,A Japanese person .,Japanese.
Niissä on anturit .,It has sensors .,They're equipped with sensors.
AB : Kiitoksia .,AB : Thanks .,Thank you.
on toimittava yhdessä .,must work together .,We must work together.
Ajatellaan vaikka ruokaa .,So take food .,"Take food, for example."
Tai ajatellaanpa seksiä .,Or take sex .,"Well, let's think about sex."
Runous merkitsee .,Poetry matters .,And poetry matters.
Kiitos .,Thank you .,Thank you.
Myös eläimiä .,Animals too .,Including animals.
&quot; &quot; Miksi Kermit ?,Why Kermit ?,Why Kermit?
Kiitos .,Thank you .,Thank you.
Aurinko .,The sun .,The sun.
Mielenkiintoista .,Interesting .,Interesting.
Painavat !,Heavy !,They're heavy!
